loca_2,representative_point_lat,representative_point_lng
JERONA,-19.45822366,147.22164186848588
JIMBOOMBA,-27.839010575,153.04718132401348
JIMBOUR EAST,-26.929681085,151.30048789398137
JIMBOUR WEST,-26.871510845,151.09446202170523
JIMNA,-26.701355945,152.50995614817165
JINDALEE,-27.535366645,152.93785943175772
JINGHI,-26.64429803,151.08877323988509
JOBS GATE,-28.757164590000002,146.72804096527798
JOHNSONS HILL,-23.625292745,150.4118338325831
BANKS POCKET,-26.15201969,152.67104846369804
JOHNSTOWN,-26.42019525,152.1053650077012
JOLLYS LOOKOUT,-27.41017392,152.82695541021735
JONDARYAN,-27.383924415,151.5842809464808
JONES GULLY,-27.177551180000002,152.00633623804708
JONES HILL,-26.237161455,152.65987282918098
JOSEPHVILLE,-28.033736315,152.90099751565634
JOSKELEIGH,-23.379254865,150.8060191749306
JOYNER,-27.27414692,152.94083719843314
JUBILEE HEIGHTS,-17.47473763,146.03519931947534
BANKSIA BEACH,-27.039244500000002,153.1415586305377
JUBILEE POCKET,-20.286966225,148.7297329484204
JULAGO,-19.37224934,146.88387116136155
JULATTEN,-16.577272989999997,145.35883135201254
JULIA CREEK,-20.639998515000002,141.70966653305948
JUNABEE,-28.249942855,152.1569486601572
JUNCTION VIEW,-27.810731525,152.18739499586462
JUNDAH,-25.07625455,143.17211667512572
KABAN,-17.50676127,145.3841531882934
KABRA,-23.502762555,150.3944270013424
KAGARU,-27.858511,152.91674999992023
AIRDMILLAN,-19.52811714,147.48116186090016
BANNOCKBURN,-27.759748025,153.19216403049134
KAIMKILLENBUN,-27.03736131,151.40689604673065
KAIRI,-17.214372955,145.54147377972322
KALAPA,-23.450881950000003,150.202451183831
KALBAR,-27.937174159999998,152.61039055604266
KALKADOON,-20.67250498,139.48561585042833
KALKIE,-24.844687094999998,152.38228494498668
KALLANGUR,-27.25048359,152.99276421724653
KALPOWAR,-24.69283329,151.36458525184514
KALUNGA,-17.437859985,145.38753502796297
KAMERUNGA,-16.879769685,145.6981383030783
BANYO,-27.378963865,153.08318316820836
KANDANGA,-26.392205875000002,152.691116375378
KANDANGA CREEK,-26.40041722,152.62835338336015
