loca_2,centroid_lat,centroid_lng
HENDRA,-27.418157179975033,153.0706181282426
HERBERTON,-17.3914688643087,145.38417419600364
HERITAGE PARK,-27.682438169135605,153.06127878137943
HERMIT PARK,-19.283054789480353,146.80370236016796
BALMORAL RIDGE,-26.744593041749248,152.89232129252827
HERSTON,-27.448437120361213,153.0219597566275
HIBERNIA,-23.088784177933608,147.90295814473868
HIDDEN VALLEY,-23.16721057019873,150.7208632348571
HIDEAWAY BAY,-20.08006141695127,148.48236530736432
HIGHBURY,-16.305412480915194,142.89720678697248
HIGHFIELDS,-27.464749426530375,151.94772598948384
HIGHGATE HILL,-27.487677511886,153.01728036206399
BALNAGOWAN,-21.117517047025256,149.00837275342764
HIGHGROVE,-27.115779621325263,151.7726587935217
HIGHLAND PARK,-28.01418300599417,153.33204980915912
HIGHLAND PLAINS,-27.268115599305073,151.7616257885922
HIGHLAND PLAINS,-25.8698647349602,148.75491358118487
HIGHVALE,-27.37211978256057,152.8117877713523
HIGHWORTH,-26.616247478116964,152.9295080440478
HILLCREST,-27.668402527840886,153.0262894546932
HILLVIEW,-28.22910956380548,153.0239125966151
HINCHINBROOK,-18.292195648275243,146.24405218162215
HIRSTGLEN,-27.83814258848355,152.09420778167336
BAMAGA,-10.8560929140775,142.4323968914496
HIVESVILLE,-26.171990145005644,151.68876650116735
HOBARTVILLE,-23.356108269092154,146.38065013227038
HODGLEIGH,-26.60999501732116,151.93070511895027
HODGSON,-26.559830964054175,148.6302414438151
HODGSON VALE,-27.674949016914447,151.94604465047203
HOLLAND PARK,-27.518780045478003,153.07080513401533
HOLLAND PARK WEST,-27.526637579702772,153.061032010656
HOLLOWAYS BEACH,-16.840436872330645,145.73390864609274
HOLLYWELL,-27.895300549467912,153.3995132065928
HOLMVIEW,-27.715564509575774,153.17096943174064
BAMBAROO,-18.88506600239809,146.18447310249104
HOLROYD RIVER,-14.227079846243454,142.4693382791955
HOME CREEK,-23.98379267622607,145.23713017860666
HOME HILL,-19.660952166826583,147.4137965284053
