loca_2,representative_point_lat,representative_point_lng
MARRANGAROO,-33.423185285,150.1498438149485
MARRAR,-34.843692695,147.3484115232666
MARRICKVILLE,-33.912302624999995,151.1546067944778
MARSDEN PARK,-33.700662375,150.8155021092171
MARSFIELD,-33.777397504999996,151.10067496997425
MARSHALL MOUNT,-34.540011555,150.7170075546984
MARSHDALE,-32.425928305,151.79686543428915
BELBORA,-31.97930023,152.17292609132363
MARTHAGUY,-31.265018615000002,147.84497505305944
MARTINDALE,-32.591818865,150.67480336151726
MARTINS CREEK,-32.559740954999995,151.64479778577117
MARTINSVILLE,-33.045739055,151.3798915278823
MARULAN,-34.71870999,150.0057611170371
MARYLAND,-32.880977724999994,151.66310987607775
MARYLAND,-28.5327157,152.04368888256238
MARYS MOUNT,-30.97840994,150.00630955755986
MARYVALE,-32.457499805,148.91185375872604
MARYVILLE,-32.911518965,151.75515855082568
BELFIELD,-33.904419165,151.08555355502335
MASCOT,-33.946871169999994,151.1810061480318
MATCHAM,-33.404172255000006,151.4292102134902
MATHESON,-29.765334135,151.58570776429832
MATHOURA,-35.816304055,144.88301564987256
MATONG,-34.76690687,146.91066776875238
MATRAVILLE,-33.96412954,151.22994868621367
MAUDE,-34.49342983,144.1859883066132
MAULES CREEK,-30.496437309999997,150.21452990186486
MAXWELL,-35.284979175000004,147.301295213759
MAYBOLE,-29.90893474,151.58533813317842
BELFORD,-32.668990575,151.2904889048748
MAYERS FLAT,-32.40612146,152.3155572258682
MAYFIELD,-35.23099176,149.7883557461462
MAYFIELD,-33.667702455,149.7763037474521
MAYFIELD,-32.897692275,151.73808521848434
MAYFIELD,-34.91896196,150.6658170960278
MAYFIELD EAST,-32.900049205,151.7503163225125
MAYFIELD NORTH,-32.890275880000004,151.7511760546701
MAYFIELD WEST,-32.886648109999996,151.7264596765632
MAYRUNG,-35.468938415,145.31735622699605
MAYS HILL,-33.821069120000004,150.9894932688534
BELFRAYDEN,-35.116199005,147.05494735343586
MAYVALE,-30.405526395,150.40882454652038
MCCULLYS GAP,-32.21358116,150.99884107439408
MCDOUGALLS HILL,-32.545573000000005,151.1464181775404
MCGRATHS HILL,-33.613233565,150.84274642641478
MCKEES HILL,-28.87198974,153.19366388195954
MCKELLARS PARK,-33.46995971,150.15309441157106
MCLEANS RIDGES,-28.792296899999997,153.39704985262
MCLEODS SHOOT,-28.658980155000002,153.54507377826133
MCMAHONS POINT,-33.84543793,151.20271826842742
MCMAHONS REEF,-34.68944071,148.4315829307689
BELGRAVIA,-33.10586,149.04035807692262
MEADOW FLAT,-33.449120855000004,149.9087628626483
MEADOWBANK,-33.816284355,151.0875141929253
MEBBIN,-28.45134203,153.16827706689742
MEBUL,-32.330133785,149.36328378521307
MEDLOW BATH,-33.67978173,150.28855546589023
MEDOWIE,-32.74074324,151.89020868627523
MEDWAY,-34.492590199999995,150.27804417213468
MEERSCHAUM VALE,-28.92639465,153.4075542715732
MEGAN,-30.299723919999998,152.785852972426
MELBERGEN,-33.746262855,146.01380737081215
MELINGA,-31.811470065,152.49127374174944
MELLONG,-33.099109775,150.737760665105
MELLOOL,-35.332016585000005,143.77970466974722
MELROSE PARK,-33.813305944999996,151.07190703245232
MELVILLE,-32.67762098,151.52041496560474
MEMAGONG,-34.303328545,148.12450239333558
MENAH,-32.53799737,149.54294151786468
MENAI,-34.005199925,151.0038017838355
BELIMBLA PARK,-34.083409605,150.54019533166985
MENANGLE,-34.13403371,150.72323530326162
MENANGLE PARK,-34.101209604999994,150.75748271448077
MENDOORAN,-31.748115849999998,149.0014101546896
MENINDEE,-32.370315385,142.66747702124854
MERAH NORTH,-30.190316844999998,149.21735788696475
MEREWETHER,-32.94785064,151.74755767158769
MEREWETHER HEIGHTS,-32.946802715,151.7339450631011
MERIMBULA,-36.896208215,149.8978277545799
MERINGO,-35.981779495,150.13690138096047
MERNOT,-31.68651452,151.57318273073696
ALBION PARK RAIL,-34.561648135,150.7905389325207
BELL,-33.50034981,150.31673045169464
MEROO,-32.754639845,149.61537571662927
MEROO MEADOW,-34.815131585,150.60361298221713
MEROTHERIE,-32.15117649,149.56289061137397
MERRIANGAAH,-36.84363407,149.00971321233877
MERRICUMBENE,-35.73095768,149.853349289
MERRIGAL,-31.489689995,148.24244569967814
MERRILL,-34.691321689999995,149.2671389850971
MERRIWA,-32.1162439,150.29961222939923
MERRIWAGGA,-33.816807595,145.64838141361435
MERRYGOEN,-31.81343023,149.28490954873268
BELLA VISTA,-33.738763320000004,150.95621680380893
MERRYLANDS,-33.83495399,150.9863870258087
MERRYLANDS WEST,-33.837759965000004,150.96702542502624
MERUNGLE HILL,-34.61850615,146.47308687449902
MERYLA,-34.682819914999996,150.35734632720124
METFORD,-32.766231555000005,151.60992580518558
METHUL,-34.6165012,147.11088433765337
MIAMLEY,-32.38880339,146.9296105209095
MIANDETTA,-31.588382105,146.91146428701154
MICALO ISLAND,-29.451011965,153.30821827899186
MICHELAGO,-35.741791535000004,149.1816476681377
BELLAMBI,-34.369293845,150.9194174873615
MIDDLE ARM,-34.597747825,149.72993664734463
MIDDLE BROOK,-31.93188291,150.80121331795056
MIDDLE BROTHER,-31.6897847,152.7095398290449
MIDDLE COVE,-33.791511924999995,151.2110091706149
MIDDLE DURAL,-33.63842978,151.01779274212478
MIDDLE FALBROOK,-32.44176575,151.14439756121425
MIDDLE FLAT,-36.23718278,149.19479120514646
MIDDLE HARBOUR,-33.79110855,151.2342518551781
MIDDLE POCKET,-28.48795176,153.4710763836846
MIDDLETON GRANGE,-33.913863635,150.8424628484567
BELLANGRY,-31.326231265,152.58204945553905
MIDDLINGBANK,-36.21687595,148.8151565062405
MIDGINBIL,-28.500597825,153.26544109023513
MIHI,-30.721678134999998,151.68291859368253
MILA,-37.051407745,149.18893109949806
MILBRODALE,-32.719997125,150.9594542918166
MILBRULONG,-35.252839455,146.8514006576542
MILKERS FLAT,-33.280872085,149.4007533190778
MILLAH MURRAH,-33.172065335,149.64152442551557
MILLBANK,-30.791911685000002,152.60153434096438
MILLER,-33.920621034999996,150.8804586334886
BELLATA,-29.919881144999998,149.79316236029658
