loca_2,representative_point_lat,representative_point_lng
DEVON HILLS,-41.55023587,147.18040535775796
DEVONPORT,-41.17543157,146.3430715229095
DILSTON,-41.3244021,147.0669636743312
DOCTORS POINT,-41.79117256,146.6859179463687
DOCTORS ROCKS,-41.02056461,145.78469642024788
ANTILL PONDS,-42.216123795,147.40397730797795
DODGES FERRY,-42.85443947,147.6309532110922
DOLPHIN SANDS,-42.09084791,148.15616651723906
DON,-41.182525889999994,146.3074481541102
DOUGLAS RIVER,-41.798238675,148.25531991387794
DOUGLAS-APSLEY,-41.785730935000004,148.18016517928865
DOVER,-43.29697032999999,147.02015036245388
DOWNLANDS,-41.082696145,145.89016671787516
DOWSING POINT,-42.821755955,147.29854491813597
DROMEDARY,-42.732374835,147.14739219227346
DULCOT,-42.787869375,147.4023038220633
APOLLO BAY,-43.164475125,147.28845440921725
DUNALLEY,-42.883526465,147.77849637348857
DUNORLAN,-41.494768934999996,146.54875885772273
DYNNYRNE,-42.903079155,147.31083785437716
DYSART,-42.54250443,147.13160259526143
EAGLEHAWK NECK,-43.010579915,147.88895642832094
EAST CAM,-41.05969961,145.85308915935096
EAST DEVONPORT,-41.186925755000004,146.3898916038985
EAST LAUNCESTON,-41.43893842,147.14959911094235
EAST RIDGLEY,-41.152397925,145.8587969997057
EDDYSTONE,-40.99674002,148.31710785326936
APSLAWN,-41.960422925,148.17036236885554
EDGCUMBE BEACH,-40.866267210000004,145.41462104976662
EDITH CREEK,-40.95771847,145.0650421013321
EGG LAGOON,-39.65914918,144.01009537508247
EGGS AND BACON BAY,-43.245990135,147.1070748624836
ELDERSLIE,-42.598925754999996,147.0760577591563
ELECTRONA,-43.05347406,147.25766702597588
ELIZABETH TOWN,-41.424956664999996,146.56164397409054
ELLENDALE,-42.602563945,146.68710127749966
ELLIOTT,-41.10751995,145.77945323029797
EMITA,-40.00573266000001,147.93735238101686
APSLEY,-42.40881294,147.14008879874788
EMU HEIGHTS,-41.075273984999995,145.91980556766077
EPPING FOREST,-41.761125945,147.35343562410208
ERRIBA,-41.438691875,146.11438968191956
EUGENANA,-41.232115825,146.30953564857066
EVANDALE,-41.56882117,147.32023810134132
EXETER,-41.306553565,146.93463590852
EXTON,-41.51276446,146.74524368312785
FALMOUTH,-41.519339975,148.24432806950438
FENTONBURY,-42.651613185,146.75401115043093
FERN TREE,-42.93399698,147.26299954431926
ABELS BAY,-43.22951431,147.10794097344413
ARTHUR RIVER,-41.053712605,144.6882625182056
FINGAL,-41.65719287,147.93695516403176
FITZGERALD,-42.755274805,146.65847509775148
FLINTSTONE,-41.99682628,146.85841905945634
FLORENTINE,-42.61719077,146.45884107969906
FLOWERDALE,-40.970090455000005,145.6659678357278
FLOWERPOT,-43.20091947,147.2369659130933
FLOWERY GULLY,-41.24678371,146.81532440892178
FORCETT,-42.81303139,147.66494745409824
FOREST,-40.848316735,145.2380501831127
FORESTER,-41.06314483,147.68169859105927
ARTHURS LAKE,-41.981443675,146.92869116939863
FORTESCUE,-43.10102543,147.92460235167817
FORTH,-41.211009565,146.22698921265612
FORTHSIDE,-41.22964924,146.26422898541603
FOUR MILE CREEK,-41.577405084999995,148.2831172905174
FRANKFORD,-41.315756725,146.7186092477447
FRANKLIN,-43.081094255,146.9788598226587
FREYCINET,-42.202445714999996,148.3187830557884
FRIENDLY BEACHES,-42.008339875000004,148.26823163371495
GAGEBROOK,-42.742942424999995,147.27132764899278
GARDEN ISLAND CREEK,-43.226163005000004,147.17793031486565
AUSTINS FERRY,-42.77481618,147.2481976696008
GARDNERS BAY,-43.175844435,147.15414760911986
GAWLER,-41.221880209999995,146.15236415582154
GEEVESTON,-43.15399719,146.85938035365973
GEILSTON BAY,-42.829392675,147.35414126067064
GEORGE TOWN,-41.091162264999994,146.8844816350703
GLADSTONE,-41.026153730000004,148.06865815253505
GLAZIERS BAY,-43.13852448,147.0195256889068
GLEBE,-42.873932795,147.32676925049338
GLEN HUON,-43.042443840000004,146.9273827423371
GLENDEVIE,-43.247088335,146.99104097761494
AVOCA,-41.794115415,147.71160356935516
GLENFERN,-42.81562803,147.0039655061969
GLENGARRY,-41.34426315,146.86238470966066
GLENLUSK,-42.816423475,147.20184364104958
GLENORA,-42.687537255,146.86500788602382
GLENORCHY,-42.844074774999996,147.25605556862752
GOLCONDA,-41.155047255,147.30792021014025
GOLDEN VALLEY,-41.6456374,146.74618780288645
GOODWOOD,-42.826926404999995,147.2940097007084
GORDON,-43.26116969500001,147.20724427659968
GORMANSTON,-42.080678864999996,145.61508351009368
BADEN,-42.427539355,147.46262607000153
GOSHEN,-41.28397071,148.10623844745697
GOULDS COUNTRY,-41.19631867,148.05937721208446
GOWRIE PARK,-41.4665705,146.2204293944633
GRANTON,-42.763507705,147.19347008492588
GRANVILLE HARBOUR,-41.8071519,145.06994618398
GRASSTREE HILL,-42.783579020000005,147.3715533344348
GRASSY,-40.047950900000004,144.0674727437045
GRAVELLY BEACH,-41.283038425,146.96286393432973
GRAY,-41.645353625,148.21112883546482
GREAT BAY,-43.22382432,147.36802902172582
BADGER HEAD,-41.105909365,146.68575905219376
GREENS BEACH,-41.10291388,146.7390834721964
GRETNA,-42.63013126,146.94445863632848
GRINDELWALD,-41.35239274,147.0063913289369
GROVE,-42.982915004999995,147.09630853610514
GUILDFORD,-41.467320665,145.7122668084076
GUNNS PLAINS,-41.292020025,145.9997633543673
HADSPEN,-41.510557685,147.06328950705148
HAGLEY,-41.52234676,146.91393526646766
HAMILTON,-42.54760901,146.85034509667418
HAMPSHIRE,-41.29280957,145.75335811411105
BAGDAD,-42.608104355,147.2271781756295
HARFORD,-41.247651649999995,146.64705605919676
HASTINGS,-43.40283473,146.88891642451205
HAVENVIEW,-41.086041480000006,145.91137024567115
HAWLEY BEACH,-41.135575915,146.5337260721645
HAYES,-42.73702005,146.99881093785274
HELLYER,-40.881498625,145.42758932410516
HENRIETTA,-41.17747207,145.68034349292338
HERMITAGE,-42.26338159,146.8471138514526
HERRICK,-41.08451864,147.90079692669224
HEYBRIDGE,-41.085213800000005,145.9772276527787
BAKERS BEACH,-41.164010415,146.64473856473268
HIGHCLERE,-41.195519835,145.82250788701168
HIGHCROFT,-43.15400758,147.77909823287368
HILLCREST,-41.06288506,145.89470308362237
HILLWOOD,-41.219653120000004,146.96892167434743
HOBART,-42.882372175,147.32587013679236
HOLLOW TREE,-42.48501879,146.89110478157076
HOLWELL,-41.28098438,146.7711166317021
HONEYWOOD,-42.724731985,147.28355105071418
HOWDEN,-43.020978029999995,147.2974787392517
HOWRAH,-42.886007575,147.41678581502703
BANCA,-41.00427770500001,147.81648669479716
HOWTH,-41.09358673,146.00355173283168
HUNTINGFIELD,-43.00016444,147.29482042268324
HUONVILLE,-43.030572185,147.05536916343132
IDA BAY,-43.452554965000004,146.9142306755714
INTERLAKEN,-42.15867865,147.14243115338735
INVERMAY,-41.421870125,147.13067905487057
IRISHTOWN,-40.92012515,145.14278402319314
JACKEYS MARSH,-41.701427089999996,146.67455622460898
JERICHO,-42.38909171,147.2886693148157
JETSONVILLE,-41.107426535,147.4621769537207
BANGOR,-41.215753,147.15315372171315
JUDBURY,-42.974634315,146.9249852453637
KAMONA,-41.140954879999995,147.6710859408762
KAOOTA,-43.032145985,147.1613849202094
KARANJA,-42.683089235,146.8351199299571
KAROOLA,-41.24721485,147.13217045825562
KAYENA,-41.190555085,146.89150351859627
KELLEVIE,-42.76023881,147.7907724343065
KELSO,-41.101343935,146.7789790006417
KEMPTON,-42.531321520000006,147.22057362646598
KETTERING,-43.127369535,147.22242293517132
ABERDEEN,-41.242828779999996,146.3237804841049
BARNES BAY,-43.120747435,147.36339944310663
KILLIECRANKIE,-39.843387885,147.84408309590498
KILLORA,-43.09524888,147.3228124103722
KIMBERLEY,-41.422638025,146.47379846695662
KINDRED,-41.255403705,146.2229839488947
KINGS MEADOWS,-41.4704932,147.16260480582412
KINGSTON,-42.96433969,147.2880433962099
KINGSTON BEACH,-42.98324045,147.32056105742674
KOONYA,-43.078835185,147.8160176489232
LACHLAN,-42.845519905,147.03002944335094
LACKRANA,-40.099854879999995,148.19089727761326
BARRETTA,-43.045771645,147.26230049151934
LADY BARRON,-40.21654673,148.2945851198537
LAKE LEAKE,-42.025318965,147.84587859189327
LAKE MARGARET,-41.999332875,145.558450267745
LAKE SORELL,-42.03837125,147.15794952530308
LAKE ST CLAIR,-41.99626861,145.90696787904284
LALLA,-41.255973194999996,147.18083352323544
LANENA,-41.316781025,146.96797951253802
LAPOINYA,-41.031609775,145.56278790879293
LATROBE,-41.247524424999995,146.43126602897945
LAUDERDALE,-42.910697,147.48958623760643
BARRINGTON,-41.334798410000005,146.27756650700906
LAUNCESTON,-41.4333888,147.13926288542183
LAWITTA,-42.762265740000004,147.03710521517866
LEBRINA,-41.164836050000005,147.22469147187687
LEEKA,-39.89819819,147.8162837246465
LEFROY,-41.085181765,146.9839203988374
LEGANA,-41.37359993,147.03913132272564
LEGERWOOD,-41.21299648,147.70192931174995
LEITH,-41.167272685,146.26280702914318
LEMONT,-42.294460345000005,147.65575665475887
LENAH VALLEY,-42.86969259,147.2755147903179
BATTERY POINT,-42.89011353,147.33295732032758
LESLIE VALE,-42.97615749,147.2251482869716
LEVENDALE,-42.537265175,147.57270337261622
LEWISHAM,-42.829855875,147.61119270177633
LIAWENEE,-41.90128513,146.6526981323301
LIENA,-41.54262901,146.20727313935885
LIETINNA,-41.156199215,147.4491215784621
LIFFEY,-41.693066654999996,146.8040251262047
LILEAH,-41.00643119,145.23100478792634
LILLICO,-41.171943485,146.2877761882424
LILYDALE,-41.239810504999994,147.20654133610972
BEACONSFIELD,-41.211399305,146.75770533881231
LINDISFARNE,-42.841905395,147.37512623092374
LISLE,-41.237046774999996,147.32919217095778
LITTLE PINE LAGOON,-41.97232301,146.58075051358992
LITTLE SWANPORT,-42.31288983,147.93532088544168
LOCCOTA,-40.20620271,148.04799367269896
LOIRA,-41.27099237,146.89717043649375
LONDON LAKES,-42.1560897,146.59156886725356
LONG REACH,-41.16595094,146.9482973953255
LONGFORD,-41.595750484999996,147.09081783401865
LONGLEY,-42.97116975,147.18301246850632
BEAUMARIS,-41.41650249,148.26035877353712
LONNAVALE,-42.95794997,146.78453574500531
LOONGANA,-41.405074299999995,145.92484938792097
LOORANA,-39.86798332,143.91861173018333
LORINNA,-41.531950965,146.15010594482948
LOTTAH,-41.214967709999996,148.01537890567448
LOW HEAD,-41.05517631,146.84266351530883
LOWER BARRINGTON,-41.29026797,146.28240283833668
LOWER BEULAH,-41.45998031,146.4182124121745
LOWER LONGLEY,-42.96634308,147.15224390709275
LOWER MARSHES,-42.329207,147.20543174092202
BEAUTY POINT,-41.15924004,146.79890663442492
LOWER SNUG,-43.08822497,147.25086102173663
LOWER TURNERS MARSH,-41.214468905000004,147.10149156065017
LOWER WATTLE GROVE,-43.152798884999996,147.01890796595632
LOWER WILMOT,-41.316009985,146.22393484136666
LOYETEA,-41.30763649,145.910356665343
LUCASTON,-42.96526025,147.0327941546085
LUGHRATA,-39.9425683,147.93090661422528
LUINA,-41.46160322,145.37684452860427
LULWORTH,-41.003301144999995,147.08210402128043
LUNAWANNA,-43.365279675,147.23779074582163
BEECHFORD,-41.04177617,146.93812784682112
LUNE RIVER,-43.430065830000004,146.84932693683115
LUTANA,-42.839047495,147.31316157681306
LYMINGTON,-43.19899041,147.05279331649447
LYMWOOD,-40.0361391,144.00162572230226
MACQUARIE HEADS,-42.21428507,145.20244070140262
MACQUARIE PLAINS,-42.711558245,146.91817147352094
MAGRA,-42.731831685,147.07852229842968
MALBINA,-42.788498345,147.11906050391917
MANGALORE,-42.64998737,147.2736333211343
MANGANA,-41.584584155,147.84123035099896
BELL BAY,-41.127155385,146.8656515517908
MARGATE,-43.02597003,147.24105480330428
MARION BAY,-42.828026285,147.8562592244156
MARRAWAH,-40.9268303,144.68335025760268
MATHINNA,-41.443708505000004,147.98675170628994
MAWBANNA,-40.988112060000006,145.3981257657136
MAYBERRY,-41.571450920000004,146.30826172930534
MAYDENA,-42.754426115,146.55892207723906
MAYFIELD,-41.387121289999996,147.13512811534906
MEADOWBANK,-42.630595225,146.81843731131312
MEANDER,-41.667696629999995,146.58527433758496
BELLERIVE,-42.8723405,147.3788511054234
MELLA,-40.849984500000005,145.03980702520818
MELROSE,-41.249515065,146.29953168529832
MELTON MOWBRAY,-42.449107595,147.2365017752897
MEMANA,-39.960020515,148.1009099045209
MENGHA,-40.93709301,145.27482503904815
MERSEY FOREST,-41.71222092,146.2164057617066
MERSEYLEA,-41.36274787,146.4759755732067
MEUNNA,-41.08678276,145.46735666506262
MIANDETTA,-41.19628169,146.3524098469279
MIDDLESEX,-41.534689725,145.9462783642913
ACACIA HILLS,-41.282029754999996,146.3359728384109
BELLINGHAM,-41.021544315,147.17776601764604
MIDDLETON,-43.228762520000004,147.22901957610483
MIDWAY POINT,-42.793044699999996,147.52958223582195
MIENA,-41.98103868,146.75729997888627
MILABENA,-41.030073900000005,145.5019938957525
MILLERS BLUFF,-41.98197146,147.09161075408872
MOINA,-41.506147225,146.09583438427035
MOLE CREEK,-41.56712876,146.39514234783292
MOLESWORTH,-42.808920279999995,147.14662614754246
MOLTEMA,-41.44547389,146.5256100280319
MONTAGU,-40.808162890000006,144.95077182348717
BEN LOMOND,-41.560676775000005,147.6518563002495
MONTAGU BAY,-42.864821015000004,147.3575119109592
MONTANA,-41.59430302,146.58820798197837
MONTELLO,-41.057258805000004,145.89575640418997
MONTROSE,-42.83082812,147.24241595467623
MONTUMANA,-40.951070445,145.48494551087887
MOOGARA,-42.820760410000005,146.86483023046287
MOONAH,-42.84752659,147.2995366491435
MOOREVILLE,-41.099588745,145.86272161121053
MOORINA,-41.135643505,147.88798394671085
MOORLEAH,-41.00648038,145.61665271877163
BERRIEDALE,-42.81142662,147.22527737216075
MORASS BAY,-42.0224941,146.94735089222064
MORIARTY,-41.219406975,146.48792004351975
MORNINGTON,-42.86091098,147.3991933749672
MOUNT DIRECTION,-41.19421317,147.03565530130123
MOUNT FIELD,-42.66394552,146.60535055960318
MOUNT HICKS,-41.06456066,145.74010745276118
MOUNT LLOYD,-42.876980329999995,146.90251356360733
MOUNT NELSON,-42.92100595,147.32129605529428
MOUNT ROLAND,-41.486915735,146.2761854323337
