loca_2,centroid_lat,centroid_lng
BROWN HILL CREEK,-34.984256202974144,138.65029868755508
MAGDALA,-34.4215056705076,138.70428449883343
MIL-LEL,-37.77324866284564,140.87557357118806
SHEA-OAK LOG,-34.508496550448605,138.83432162899751
PORT MANNUM,-34.92556015615402,139.3033564485452
LITTLE DOUGLAS,-34.551359062589796,135.39814449768977
TIATUKIA,-34.65976165908982,135.8338612735169
POINT BOSTON,-34.62219483323318,135.91966715512424
GARDEN ISLAND,-34.80751378346481,138.53608459398797
TORRENS ISLAND,-34.78765490883324,138.52593973812634
FARM BEACH,-34.49462252495853,135.39696605919605
BROWNLOW,-34.2265413719742,139.34391663221422
FALSE BAY,-32.94671236433832,137.64444147184884
DOUGLAS POINT SOUTH,-32.881429547411834,137.79484914612567
FITZGERALD BAY,-32.912709184871744,137.75694800953147
DOUGLAS POINT,-32.84974757619124,137.806506570936
BACKY POINT,-32.91219608303163,137.7873974868138
POINT LOWLY NORTH,-32.9849318811182,137.78041188061968
EDINBURGH NORTH,-34.70432847664581,138.65812209648266
CEDUNA WATERS,-32.181761405787256,133.69536402517636
MURNINNIE BEACH,-33.31734963882275,137.3751035486113
WHYALLA BARSON,-32.97404407955806,137.56479088250882
SULTANA POINT,-35.118349403707846,137.73907988678067
COWLEDS LANDING,-33.14493328196324,137.44274124527217
BRUCE,-32.47299134204981,138.19869657948092
BRUKUNGA,-35.00888053489247,138.95216968218352
AMERICAN BEACH,-35.768956178979614,137.88075699142647
BUCHANAN,-34.20970453985155,139.0039313400626
BUCHFELDE,-34.6096658592022,138.7050345117777
BUCKINGHAM,-36.33812169612864,140.5674322567247
BUCKLAND PARK,-34.688335800857494,138.49963366652628
BUGLE HUT,-34.406261251356725,140.73782597472663
BUGLE RANGES,-35.132660357067806,138.8716708599999
BULL CREEK,-35.235286554207285,138.76219304643195
BUMBUNGA,-33.90876493323,138.23003810016982
BUNBURY,-36.16406383998881,139.98016260586806
AMERICAN RIVER,-35.77872828979453,137.76974692266828
BUNDALEER GARDENS,-33.34802530474672,138.54107183352514
BUNDALEER NORTH,-33.279508726183224,138.5941670946498
BUNDEY,-33.88107404721085,139.275075015562
BUNGAMA,-33.201498048556815,138.06821442584155
BUNGAREE,-33.746574724349394,138.56519771082642
BURDETT,-35.037753284927746,139.40971962997347
BURNSFIELD,-33.67871384186297,138.25539017945812
BURNSIDE,-34.94007906630064,138.6666115963254
BURRA,-33.68501463383121,138.95322149980566
BURRA EASTERN DISTRICTS,-33.637416171676556,139.24687206341457
AMYTON,-32.60533612027155,138.35129899251004
BURRUNGULE,-37.785641724337225,140.59170850293035
BURTON,-34.73769843525643,138.60008450470517
BUTE,-33.842078683840214,138.0048227124617
BUTLER,-34.07762384317925,136.16745532578827
CADELL,-34.09063941928766,139.77892663051972
CADELL LAGOON,-34.03371874363226,139.75444263805736
CADGEE,-36.78374790092701,140.71105839077507
CALCA,-33.04634990161273,134.33998192410678
CALIPH,-34.63488098069937,140.26946339842453
CALLINGTON,-35.11455913550634,139.0462640857326
ADELAIDE,-34.92849901732187,138.60074594711986
ANAMA,-33.68682090263626,138.56541349174606
CALOMBA,-34.39411981521469,138.4089665852704
CALOOTE,-34.97589314533596,139.25607801417442
CALTOWIE,-33.20064744284098,138.49124689554054
CALTOWIE NORTH,-33.11839116760346,138.48251670067998
CALTOWIE WEST,-33.154614433692885,138.3910467046785
CAMBRAI,-34.679098041721254,139.32915655229485
CAMDEN PARK,-34.967147027918244,138.54138780135656
CAMPBELLTOWN,-34.88136842730563,138.6608567428107
CAMPOONA,-33.54573014735544,136.40831120386972
CANNAWIGARA,-36.26755054253493,140.64960081506598
ANDAMOOKA,-30.45359671105442,137.16496835340718
CANOWIE,-33.37478722625952,138.746857652772
COHEN,-31.869227288592313,132.9034805467883
CLINTON,-34.171494192651984,137.98660868354636
BONYTHON,-32.084321471009204,133.69584610858718
BOONERDO,-33.562504504584346,135.97622169435593
BLESING,-33.66966983756321,135.43286274505996
BOCKELBERG,-32.580681231174154,135.05581318594696
BOOKPURNONG,-34.541308714083925,140.76404878552856
BAKER,-35.59801836276672,139.12162470443826
BALAKLAVA,-34.23217523983984,138.3604749175905
BREMER,-35.34538793505831,138.94525146116308
BROOKER,-34.07874460199261,135.8542680867
BUCKLEBOO,-32.85767361044269,136.12732885523175
BURGOYNE,-31.869161432390207,133.02707946975897
CARINA,-32.865672085491745,135.0557719145515
CADELL,-34.09860448838983,139.76348885779677
BORDA,-35.78942186904354,136.6816650426345
BRAY,-37.24824745141575,139.99287116526824
CALDWELL,-31.87361632373458,132.42632769215493
CAMPBELL,-32.87731804292547,134.52876015213658
CARAWA,-32.30492019035248,134.20539239474508
EDEOWIE,-31.450653110268647,138.4040179876848
BONNEY,-35.71776438358986,139.39704999291408
BALDINA,-33.71638271586379,139.1051033826248
BANDON,-34.78116403276,139.91141866557513
BAROOTA,-32.88892111594775,138.01460746657673
BAROSSA,-34.62967798858448,138.88468002435548
BARTLETT,-32.08735009606267,133.39783213183162
BARUNGA,-33.72155072106809,138.17190433265296
BARWELL,-33.57457058055279,135.5698787211379
BELVIDERE,-34.382483726821995,139.01103846721182
BENDLEBY,-32.34543973204852,138.72796016269683
ADAMS,-31.89016560700723,138.67575701021323
ADELAIDE,-34.952962971257385,138.63552783722838
ALLENBY,-35.47965929614993,140.38649262518052
ALMA,-34.233625447892585,138.64857196328109
