loca_2,centroid_lat,centroid_lng
MILLBANK,-30.791412109480298,152.60696586099706
MILLER,-33.92128027545634,150.87848585845387
BELLATA,-29.93543842382323,149.75899469557623
MILLERS FOREST,-32.762110280325516,151.70141994184402
MILLERS POINT,-33.859529345458206,151.20418372025307
MILLFIELD,-32.88650250194964,151.24765111503248
MILLIE,-29.74830227794068,149.49387127588454
MILLINGANDI,-36.88700397568905,149.85690068721308
MILLTHORPE,-33.4528552537028,149.19146191304156
MILPARINKA,-29.89347498971291,141.57188843281068
MILPERRA,-33.93891788578416,150.9816625284366
MILROY,-31.14203234223194,150.04764542453552
MILROY,-32.59266193681586,149.6210433576577
BELLAWONGARAH,-34.75896603736871,150.6189612007448
MILSONS PASSAGE,-33.51423246255633,151.1797969523643
MILSONS POINT,-33.84709996654116,151.21134301971006
MILTON,-35.31937875879611,150.4390572567957
MILVALE,-34.3333668185262,147.91559747632954
MIMOSA,-34.55727855505668,147.39886163986256
MINCHINBURY,-33.78763043472664,150.8299112514645
MINDARIBBA,-32.648698718465326,151.56755357230767
MINIMBAH,-32.16165072439484,152.37221134776792
MINJARY,-35.21812689939416,148.1410149833335
MINMI,-32.8771653787034,151.62022618008444
BELLBIRD,-32.85358792302335,151.31672791540214
MINNAMURRA,-34.623053710416535,150.85079648047233
MINNIE WATER,-29.74724778126144,153.268999640711
MINORE,-32.272144004512064,148.44587507916765
MINTO,-34.03019115848706,150.84820901837617
MINTO HEIGHTS,-34.03511518620989,150.87377116609184
MIRADOR,-36.877356087928824,149.92076243727405
MIRANDA,-34.033020884703525,151.10303011522961
MIRANNIE,-32.37827654192378,151.37231276223673
MIRRABOOKA,-33.11167493616248,151.55541355454426
MIRROOL,-34.237704930826666,147.06443218029193
BELLBIRD HEIGHTS,-32.84785687406906,151.3306441421426
MISSABOTTI,-30.56602131349072,152.78462869725965
MITCHELL,-33.427357256590014,149.5567168810581
MITCHELLS FLAT,-32.55503110829547,151.29659247949408
MITCHELLS ISLAND,-31.90237989639018,152.6178600874752
MITTAGONG,-34.46169480469302,150.48683293245938
MOAMA,-36.006426486834265,144.75179061115062
MODANVILLE,-28.719145156778417,153.3000898608675
MOGAREEKA,-36.69378737545417,149.9790904758728
MOGENDOURA,-35.85869139545096,150.03259868590695
MOGGS SWAMP,-29.92335405282862,152.07989498907574
BELLBROOK,-30.75945958121133,152.48460956334762
MOGILLA,-36.70801032657922,149.56459452009352
MOGO,-35.7941747278806,150.10159023369835
MOGO,-32.259037919956356,150.0219363768677
MOGO CREEK,-33.14502191929814,151.0693014206224
MOGOOD,-35.49180730257732,150.19054261342805
MOGRANI,-32.0284957094547,152.03185967359923
MOGRIGUY,-32.070898710031095,148.66605830022408
MOLE RIVER,-29.07909557439788,151.70827111073373
MOLEVILLE CREEK,-29.571072512616926,152.90555761184214
MOLLYAN,-31.58474786076256,149.2014178602406
BELLEVUE HILL,-33.88085592054382,151.2556220989337
MOLLYMOOK,-35.34027720800327,150.469044650907
MOLLYMOOK BEACH,-35.32707646617239,150.47002433144158
MOLONG,-33.09936680745247,148.86183487426243
MONA VALE,-33.67596443514586,151.3036277652114
MONAK,-34.29786921158875,142.29066799521595
MONALTRIE,-28.85211111959723,153.2906293701338
MONDAYONG,-35.179207698074755,150.50730610890685
MONDROOK,-31.9101895804491,152.40941423239235
MONGA,-35.55527506595121,149.90981110082924
MONGARLOWE,-35.41610236894419,149.93326233107476
ALBURY,-36.07372954131425,146.9135418817328
BELLIMBOPINNI,-31.005784823301866,152.89890120273085
MONGOGARIE,-28.951387570525615,152.89823639448966
MONIA GAP,-33.604568835588815,145.98910889625017
MONIVAE,-32.69577971013122,149.90441951750915
MONKERAI,-32.2498761440014,151.85320484516055
MONTEAGLE,-34.165134113296304,148.34483307095394
MONTECOLLUM,-28.591627155188185,153.46190172804944
MONTEFIORES,-32.530376776564836,148.9389638750332
MONTEREY,-33.97229478609212,151.14765251689516
MOOBALL,-28.43569488575319,153.497095787681
MOOBI,-32.072165111195126,150.7968041753617
BELLINGEN,-30.452701692841657,152.88866124038523
MOOGEM,-29.452748385362444,152.24790378216943
MOOKERAWA,-32.79212936249237,149.16630100110106
MOOKIMA WYBRA,-29.008365872705774,152.53417030475694
MOOLARBEN,-32.36312742891809,149.77310192237704
MOOLLATTOO,-34.78701418418775,150.37843077455022
MOOLPA,-34.92354777222252,143.76151110255591
MOOMBOOLDOOL,-34.33637204546053,146.68894090013663
MOONAN BROOK,-31.952051367655177,151.35728393441312
MOONAN FLAT,-31.888518495560636,151.21258749432022
MOONBAH,-36.51041156205242,148.5600764609233
BELLMOUNT FOREST,-34.91199421019203,149.2549742796718
MOONBI,-30.94955259808666,151.0480970669585
MOONBRIA,-35.12335849930658,145.44531594088463
MOONEBA,-31.03902956335652,152.70498840562354
MOONEE,-33.17122783258057,151.62121329100356
MOONEE BEACH,-30.192124919180895,153.1498287192098
MOONEY MOONEY,-33.52610296517967,151.20729388662488
MOONEY MOONEY CREEK,-33.46518558875686,151.2213945847422
MOONPAR,-30.22185073022298,152.6416587268441
MOORAL CREEK,-31.695304308450037,152.35809355175724
BELLTREES,-31.9697555528965,151.12253435685687
MOORBEL,-33.56114707373209,148.6981395663987
MOORE CREEK,-30.988467916942348,150.9440971437759
MOORE PARK,-33.8953410672451,151.22152979424152
MOOREBANK,-33.94310100420381,150.93751563263416
MOORILDA,-33.62741121105758,149.32658688780475
MOORLAND,-31.77611671310048,152.6515758720516
MOORONG,-35.11180650721093,147.31243366146313
MOORWATHA,-35.91897512266084,146.72865726388787
MOPARRABAH,-31.044869530314912,152.45166650239744
MOPPY,-31.983133171322976,151.61871146098642
BELMONT,-33.030349636689486,151.6732951522327
MORAGO,-35.34621683973812,144.71918216730694
MORANGARELL,-34.17664251069074,147.71422570537965
MORANS CROSSING,-36.666620736872126,149.6522977338998
MOREE,-29.32550771003975,149.81739245034817
MORISSET,-33.11765861452254,151.4911113159117
MORISSET PARK,-33.121402087269516,151.5332381591653
MORNING BAY,-33.62486727632668,151.28241026265664
MORORO,-29.337267201982183,153.20156255169616
MORPETH,-32.72981325757998,151.6311559061341
MORTDALE,-33.96955221224752,151.0718606625559
BELMONT NORTH,-33.017001231243434,151.67224757309347
MORTLAKE,-33.84096741180052,151.10613615239657
MORTON,-35.41303833272971,150.31059242288413
MORTONS CREEK,-31.390744236230656,152.67086336884725
MORTS ESTATE,-33.4677477780144,150.16776017241975
MORUNDAH,-35.00848709220389,146.22736370007794
MORUYA,-35.90731640527782,150.0927996379272
MORUYA HEADS,-35.92631157916979,150.1400749427431
MORVEN,-29.41043051855136,152.16376487075001
MORVEN,-35.65153318229948,147.15480416401715
BELMONT SOUTH,-33.05336017657476,151.6610034420833
MOSMAN,-33.82900214473158,151.2445465584417
MOSS VALE,-34.5505803539343,150.39643497211256
MOSSGIEL,-33.31052216198955,144.57675450976973
MOSSY POINT,-35.83160814504259,150.1775786636775
MOTO,-31.827749195561175,152.5637115076216
MOULAMEIN,-34.996316292870425,144.1407697946717
MOUNT ADRAH,-35.21574691822803,147.90150555897173
MOUNT ANNAN,-34.06601016281547,150.76231347890965
MOUNT AQUILA,-32.83257926910532,149.17563738852002
MOUNT ARTHUR,-32.55140791462556,148.90002011309934
BELMORE,-33.9191262932655,151.08947031567527
MOUNT AUSTIN,-35.13685855582876,147.3556322164848
MOUNT BURRELL,-28.500496598549287,153.19408725493489
MOUNT COLAH,-33.666790166157696,151.12811226717963
MOUNT COLLINS,-34.03324366625078,148.78736971628808
MOUNT COOPER,-36.6526389091584,149.2034948898808
MOUNT DARRAGH,-36.84773603148247,149.57726263777087
MOUNT DAVID,-33.84294133314902,149.60999194581194
MOUNT DEE,-32.74206659982394,151.53959619245063
MOUNT DRUITT,-33.76846919619312,150.81580713854788
MOUNT ELLIOT,-33.40502519953211,151.38576504283358
BELMORE RIVER,-31.09133362066989,152.96554218200984
MOUNT FAIRY,-35.18856582155786,149.60705122419938
MOUNT FOSTER,-31.190825027237302,147.56763735924915
MOUNT FROME,-32.620895723358515,149.66413471953487
MOUNT GEORGE,-31.86749367402218,152.1998560483033
MOUNT HARRIS,-31.28157762193108,147.66615610332607
MOUNT HOPE,-32.763067049726594,145.90886098511234
MOUNT HOREB,-35.2148160136484,148.03738750336137
MOUNT HUNTER,-34.099222295264425,150.61203356179885
MOUNT HUTTON,-32.97890562892306,151.6706683018549
MOUNT IRVINE,-33.48554265038773,150.45947654265834
BELOKA,-36.54850276173365,148.71054395025334
MOUNT KEIRA,-34.40315922334745,150.85214106993084
MOUNT KEMBLA,-34.4296003903336,150.82173854843194
MOUNT KINGIMAN,-35.33902831157325,150.34198496829427
MOUNT KNOWLES,-32.6238459448209,149.71418365375922
MOUNT KURING-GAI,-33.64639187829793,151.13632637650292
MOUNT LAMBIE,-33.462870183006295,149.99242482345335
MOUNT LEWIS,-33.91558817666607,151.04949272256704
MOUNT LINDSEY,-34.45199189468905,150.57020428927027
MOUNT MARSDEN,-32.93617200841931,150.0503447013062
ALDAVILLA,-31.074168922442976,152.7620339326562
BELOWRA,-36.10379166108084,149.68437885340612
MOUNT MARSH,-29.268286165605314,152.863665081576
MOUNT MITCHELL,-29.943422332472768,151.84210283761888
MOUNT MURRAY,-34.54977280223747,150.6350961877176
MOUNT OLIVE,-32.40716894851281,151.22452606196927
MOUNT OLIVE,-33.60522620658416,149.9339904095471
MOUNT OUSLEY,-34.40066635163399,150.8803774253283
MOUNT PANORAMA,-33.45121167453263,149.55259658078305
MOUNT PLEASANT,-34.39583779419595,150.86784419140844
MOUNT PRITCHARD,-33.902929793224565,150.9031713547793
MOUNT RANKIN,-33.295519183499074,149.4836760461098
BELROSE,-33.72181003464963,151.21098475639346
MOUNT RIVERS,-32.365787334798505,151.47274961469566
MOUNT RIVERVIEW,-33.72827115450324,150.63715225749678
MOUNT ROYAL,-32.21054844095083,151.29200713777502
MOUNT RUSSELL,-29.659110891952892,150.93860450972565
MOUNT SAINT THOMAS,-34.44097488905839,150.87203517960722
MOUNT SEAVIEW,-31.365890173561436,152.19805391820276
MOUNT TENANDRA,-31.200297018160374,148.76498423844674
MOUNT THORLEY,-32.643715889736505,151.1147527159155
MOUNT TOMAH,-33.54249270518092,150.42235212141625
MOUNT VERNON,-33.860302865008904,150.81008652861533
BEMBOKA,-36.60523217058467,149.5634706048344
