loca_2,centroid_lat,centroid_lng
DEVON HILLS,-41.550152938630326,147.18340478084272
DEVONPORT,-41.17703627739657,146.34520846818143
DILSTON,-41.32041664624281,147.07658464423062
DOCTORS POINT,-41.79045190284331,146.68451441024314
DOCTORS ROCKS,-41.023276278145914,145.78402494256179
ANTILL PONDS,-42.219709029063154,147.40364846511224
DODGES FERRY,-42.855250290813856,147.62818035843145
DOLPHIN SANDS,-42.087732216190155,148.1489833954144
DON,-41.181913786715285,146.30478064086435
DOUGLAS RIVER,-41.79403092935404,148.25481205732
DOUGLAS-APSLEY,-41.78527180741897,148.18734726961208
DOVER,-43.297954523833454,147.01476159617062
DOWNLANDS,-41.08260789243662,145.8901956903821
DOWSING POINT,-42.82167630474778,147.2983431063441
DROMEDARY,-42.72645914431993,147.145760020606
DULCOT,-42.78773126900101,147.4020626102204
APOLLO BAY,-43.164693215583554,147.29034189320697
DUNALLEY,-42.88519214405789,147.85929789332513
DUNORLAN,-41.49392834472451,146.54223059233266
DYNNYRNE,-42.90517129980592,147.31293881714734
DYSART,-42.54205388791457,147.1258980655005
EAGLEHAWK NECK,-43.004656750258455,147.91372333403942
EAST CAM,-41.06073847273408,145.84988319207085
EAST DEVONPORT,-41.18559430988983,146.3889995342072
EAST LAUNCESTON,-41.43898712226512,147.1500948965769
EAST RIDGLEY,-41.15722621943201,145.85711565759436
EDDYSTONE,-40.99740137530727,148.31152715453896
APSLAWN,-41.96715634300495,148.17565336406005
EDGCUMBE BEACH,-40.86745522417599,145.41337058679204
EDITH CREEK,-40.95877647496223,145.0668521890576
EGG LAGOON,-39.66037413515885,144.01681638337786
EGGS AND BACON BAY,-43.24588538083245,147.10161182200324
ELDERSLIE,-42.59680547287631,147.07394501478709
ELECTRONA,-43.05327268741651,147.25801547207013
ELIZABETH TOWN,-41.428228607015484,146.5624184036245
ELLENDALE,-42.59822291509931,146.68847168574214
ELLIOTT,-41.104491310183946,145.77560251781082
EMITA,-40.00904511897448,147.93264181227968
APSLEY,-42.40958969933749,147.14281403560344
