loca_2,centroid_lat,centroid_lng
NYORA,-38.30866153682115,145.6836670403088
NYRRABY,-35.22161009838011,143.2238262318002
OAK PARK,-37.717506816149324,144.91698884622443
OAKLANDS JUNCTION,-37.58933830767042,144.84099884049377
OAKLEIGH,-37.900684293495495,145.09567529270876
OAKLEIGH EAST,-37.90390778328679,145.11532478703572
OAKLEIGH SOUTH,-37.92439289947777,145.09428183216235
OAKVALE,-35.93007044964186,143.54325627813319
ABBOTSFORD,-37.80436910229581,144.99969954763918
ALBION,-37.77652190143477,144.81627588884646
BELLS BEACH,-38.37529089426155,144.25639738008763
OCEAN GRANGE,-37.996860824977254,147.68932920395275
OCEAN GROVE,-38.25954705899783,144.53820523345433
OFFICER,-38.05424113162639,145.41253710457707
OFFICER SOUTH,-38.100948518551846,145.42303506628664
OLD TALLANGATTA,-36.20193850312075,147.24995404373973
OLINDA,-37.852567167275375,145.37987157835758
OMBERSLEY,-38.20014760964572,143.81410573364917
OMEO,-37.110435861298484,147.5855532778286
OMEO VALLEY,-36.94711927679134,147.61572087103295
ONDIT,-38.24265087171176,143.61763374444868
BELMONT,-38.17843940505684,144.3421043657015
ORBOST,-37.651515461288355,148.51472482401206
ORFORD,-38.19506778348065,142.10485811982224
ORMOND,-37.90391499965532,145.04175384581683
ORRVALE,-36.41158716274458,145.44684043608663
OSBORNES FLAT,-36.32062937301579,146.90913658784478
OUTTRIM,-38.528766886791665,145.77126764890616
OUYEN,-35.04882774635327,142.29542681862588
OVENS,-36.60436729940936,146.78443023639912
OXLEY,-36.4488035509747,146.3771726185296
OXLEY FLATS,-36.39851734348177,146.39159460151697
BEMM RIVER,-37.713859685142765,148.92750885084504
OZENKADNOOK,-36.83017321809102,141.35656323535295
PAARATTE,-38.55374897394917,142.96789131580132
PAINSWICK,-36.796485357533946,143.728428632601
PAKENHAM,-38.073585543201276,145.4851599640193
PAKENHAM SOUTH,-38.13754018151407,145.50210924005268
PAKENHAM UPPER,-38.00780890498112,145.5077501533878
PANITYA,-35.120993158005646,141.02009550527896
PANMURE,-38.33162714580893,142.72228085415463
PANTON HILL,-37.64280088416756,145.24644143208317
PARADISE,-36.832072038207116,143.07387971855977
BENA,-38.43510341101058,145.73753104001202
PARADISE BEACH,-38.19366755452629,147.4158461775242
PARAPARAP,-38.2972227483213,144.18279036902354
PARK ORCHARDS,-37.77700401015773,145.21476051544573
PARKDALE,-37.99182168436551,145.08128976938409
PARKVILLE,-37.786847387206386,144.95129802268198
PARWAN,-37.74280957830157,144.46846058392507
PASCHENDALE,-37.660296694144805,141.60421221625765
PASCOE VALE,-37.725013967848106,144.93817350519632
PASCOE VALE SOUTH,-37.74314096238198,144.9383641831251
PASTORIA,-37.21525565770344,144.58620890021712
BENALLA,-36.57890777327018,145.99676948196011
PASTORIA EAST,-37.17762146712215,144.63436020062656
