loca_2,centroid_lat,centroid_lng
VICTORIA POINT,-27.58428044104935,153.29239295758077
VICTORIA VALE,-19.412040551022326,142.7133366345991
VICTORY HEIGHTS,-26.173883224815835,152.6909833038251
VILLENEUVE,-26.952118975752544,152.63147703412102
VINCENT,-19.283376411624563,146.76464507831392
VINEGAR HILL,-27.46530255145029,152.25920484751677
VIRGINIA,-27.377325583203238,153.06306302892386
WACOL,-27.58690015647305,152.92080491539292
BOGANDILLA,-26.484459531139585,149.774859498354
WAHOON,-25.8932179773107,151.7207483976979
WAIKOLA,-26.116543631739763,149.2390190168561
WAINUI,-27.32895077439378,151.45622671635914
WAIRUNA,-18.382609214035767,145.48355323076697
WAKERLEY,-27.4827751152222,153.1580166226168
WALHALLOW,-26.351359568688142,148.24787246321958
WALKAMIN,-17.13668222563159,145.41721274302495
WALKERS POINT,-25.50714478266155,152.74605379388146
WALKERSTON,-21.158741496217612,149.06515815848294
WALKERVALE,-24.882609856800016,152.35885196108842
BOGIE,-20.342540850681434,147.83528038982632
WALLACES CREEK,-28.066832135046273,152.65545462328745
WALLAMAN,-18.674316895571852,145.8455898396128
WALLANGARRA,-28.901072948748798,151.91553177423685
WALLAROO,-23.66105358512288,149.52215813686345
WALLAVILLE,-25.08782520168738,151.96268625816631
WALLIEBUM,-25.421386470906185,152.71804730190374
WALLIGAN,-25.337605437738787,152.76577634709514
WALLOON,-27.60273900109934,152.66365107174636
WALLU,-25.94956002976693,152.91573446334732
WALLUMBILLA,-26.591137047230628,149.18638760063314
BOHLE,-19.245651586896273,146.7202011438158
WALLUMBILLA NORTH,-26.4328889885909,149.255049640756
WALLUMBILLA SOUTH,-26.75693384634887,149.1594442130892
WALMUL,-23.71925618962708,150.36684238429194
WALTER HILL,-17.822749468361312,145.80352467561514
WALTER LEVER ESTATE,-17.7245289887021,145.97832799343487
WALTERHALL,-23.62749674568056,150.3833715419254
WAMURAN,-27.030325210003372,152.86877310556883
WAMURAN BASIN,-27.047802470099473,152.82084049928392
WANDAL,-23.368243678644635,150.49508225251384
WANDOAN,-26.132421493616825,149.9045583662315
BOHLE PLAINS,-19.294767373206618,146.67567799246063
WANGAN,-17.57307170221133,146.00720571446337
WANGARATTA,-19.830768855525218,147.45774466535036
WANGETTI,-16.66412960190544,145.56913672400015
WANJURU,-17.448227782320316,146.06267730484188
WANORA,-27.512297431972662,152.6702973754456
WARANA,-26.72275039661937,153.12692759987416
WARBURTON,-22.457760053984295,140.92519600887584
WARD,-25.928782204117386,146.14571844993336
WARENDA,-22.457463870186107,140.29149070050906
WARKON,-26.924044887659917,149.42594667423705
BOIGU ISLAND,-9.264849246218414,142.21520819537213
WARNER,-27.312217469463487,152.949839757981
WARNOAH,-24.691263441449987,149.8968747999323
WARNUNG,-26.153592214573425,151.83447812906118
WARRA,-26.921500393654956,150.94347197560217
WARRAMI,-18.03856862175912,145.79033809010508
WARRILL VIEW,-27.829341717247058,152.60439922002624
WARROO,-28.63272758604842,151.41583836040496
WARRUBULLEN,-17.680242093795982,146.01643536868028
WARWICK,-28.21573005676235,152.02816695582172
WASHPOOL,-27.838795817100422,152.76543669099908
BOKARINA,-26.738559228775127,153.12988721494108
WATALGAN,-24.63990534436251,152.0066112354609
WATERANGA,-25.391168130519485,151.84426091086354
WATERFORD,-27.70840265475889,153.14206308438827
WATERFORD WEST,-27.69250258834227,153.12705628369497
WATERLOO,-24.744298702283515,151.99287853184083
