loca_2,representative_point_lat,representative_point_lng
NYORA,-38.306251495,145.68210089356614
NYRRABY,-35.229219305,143.22366848544777
OAK PARK,-37.718283375,144.91990173088385
OAKLANDS JUNCTION,-37.578136615000005,144.83373864601737
OAKLEIGH,-37.89912948,145.0950034079306
OAKLEIGH EAST,-37.90477449,145.11771114706636
OAKLEIGH SOUTH,-37.926852265,145.09123580927556
OAKVALE,-35.928991835,143.541662080986
ABBOTSFORD,-37.803722934999996,145.00002040985635
ALBION,-37.77574998,144.81549724560531
BELLS BEACH,-38.37694039,144.25186597427802
OCEAN GRANGE,-38.00818257,147.67062046454527
OCEAN GROVE,-38.258423475,144.5304636075483
OFFICER,-38.04887955,145.41189506508243
OFFICER SOUTH,-38.103800515,145.4246843023622
OLD TALLANGATTA,-36.201220085,147.25146033340275
OLINDA,-37.854404105,145.3694609065525
OMBERSLEY,-38.20592499,143.82474747056403
OMEO,-37.104146015,147.58224112731332
OMEO VALLEY,-36.94474798,147.6148362993972
ONDIT,-38.239211005,143.62093556507057
BELMONT,-38.180065015,144.3438818860415
ORBOST,-37.654932335,148.51007567103517
ORFORD,-38.206346765,142.10916480433306
ORMOND,-37.903230504999996,145.04464424150973
ORRVALE,-36.412745025,145.4468786662252
OSBORNES FLAT,-36.318149635,146.9014670685715
OUTTRIM,-38.530674085,145.7835040795843
OUYEN,-35.045680024999996,142.314341032043
OVENS,-36.605082374999995,146.78456842618556
OXLEY,-36.448018555,146.37324206920593
OXLEY FLATS,-36.39769638999999,146.39334499067076
BEMM RIVER,-37.716570575,148.92869994822917
OZENKADNOOK,-36.83909347,141.36222951238562
PAARATTE,-38.555442035,142.961679183556
PAINSWICK,-36.802807305,143.72322874801768
PAKENHAM,-38.07032652,145.47828814824865
PAKENHAM SOUTH,-38.14085982500001,145.5028803158864
PAKENHAM UPPER,-38.008562639999994,145.50970622263245
PANITYA,-35.1426425,141.0058061883857
PANMURE,-38.331484005,142.7350013119326
PANTON HILL,-37.640601005,145.24748082731247
PARADISE,-36.831341019999996,143.06627734825514
BENA,-38.432364715,145.73995013295763
PARADISE BEACH,-38.191972055,147.42123739239526
PARAPARAP,-38.29904994,144.18362448529786
PARK ORCHARDS,-37.776062485,145.21128057768658
PARKDALE,-37.9937475,145.0808565229542
PARKVILLE,-37.787160029999995,144.94957181180507
PARWAN,-37.739737325,144.46879571119274
PASCHENDALE,-37.6599955,141.61016117869303
PASCOE VALE,-37.72470613,144.9360992203733
PASCOE VALE SOUTH,-37.743167279999994,144.94031224936737
PASTORIA,-37.21399124,144.58114396142474
BENALLA,-36.570742519999996,145.99104943342996
PASTORIA EAST,-37.178019115,144.6307670881049
PATCHEWOLLOCK,-35.41747456,142.15888330303954
PATHO,-36.01642788,144.3705194213187
PATTERSON LAKES,-38.067620149999996,145.14626849371263
PATYAH,-36.892135015,141.27281468046493
PAYNESVILLE,-37.908513005,147.71197777860368
PEARCEDALE,-38.196267605,145.24956332722434
PEARSONDALE,-38.135789005,147.02862383416522
PEECHELBA,-36.16796033,146.18007117520094
PEECHELBA EAST,-36.155727105,146.25914959477637
BENAMBRA,-36.88917627,147.80170027102372
PELLUEBLA,-36.199329525,145.99025461109972
PENNYROYAL,-38.435432504999994,143.87272713040753
PENSHURST,-37.875759125,142.3371933010466
PENTAL ISLAND,-35.40134014,143.68595544316938
PENTLAND HILLS,-37.652778975000004,144.38002104556784
PERCYDALE,-37.078259935,143.3844174589304
PERONNE,-36.65335059,141.3542186919189
PERRY BRIDGE,-37.983084774999995,147.2629127923006
PETERBOROUGH,-38.589458625000006,142.89213157156826
PETTICOAT CREEK,-38.714507165,143.73385463896392
BENAYEO,-36.842549500000004,141.04282338711442
PHEASANT CREEK,-37.469569495,145.29401711488114
PIANGIL,-35.053093375,143.21721453005733
PICOLA,-35.95821253,145.1258969411096
PICOLA WEST,-35.965339125,145.0514110524722
PIEDMONT,-37.89529438,145.93832749835337
PIER MILAN,-35.23495705,142.6968252969107
PIGEON PONDS,-37.27900701,141.66249693780864
PIGGOREET,-37.7228497,143.63723511716648
PIMPINIO,-36.610489035,142.07753110793774
PINE GROVE,-36.217693,144.40668708614294
BEND OF ISLANDS,-37.700521035,145.27788122759455
PINE LODGE,-36.36280148,145.54678746664686
PINE MOUNTAIN,-36.012758105,147.8316036542834
PINE VIEW,-35.80377499,143.65361214377828
PIONEER BAY,-38.380960145,145.54917991434297
PIPERS CREEK,-37.250815725,144.54533718363092
PIRA,-35.25027219,143.356154381313
PIRIES,-37.1812282,146.13439112580278
PIRRON YALLOCK,-38.357612634999995,143.4266656394297
PITFIELD,-37.828964475,143.59720267715704
PITTONG,-37.67400326,143.47219752358924
BENDIGO,-36.755482009999994,144.28085256336675
PLENTY,-37.665458715,145.11264754653416
PLUMPTON,-37.664946205,144.69549055434157
POINT COOK,-37.905412119999994,144.7568657176506
POINT LEO,-38.415606915,145.0694099060461
POINT LONSDALE,-38.26615696,144.59820928465152
POINT WILSON,-38.03297594,144.52618963747176
POLISBET,-35.265170995000005,143.153659843725
POMBORNEIT,-38.295564505,143.29251942690797
POMBORNEIT EAST,-38.297216015000004,143.39293884605303
POMBORNEIT NORTH,-38.218910980000004,143.32922662115925
BENDOC,-37.188603285,148.89080464090875
POMONAL,-37.248241815,142.59127007363543
POMPAPIEL,-36.36082954,144.07213212922534
POOLAIJELO,-37.18360294,141.0779574549623
POOTILLA,-37.526534455000004,143.9587382579147
POOWONG,-38.33981248,145.763359110068
POOWONG EAST,-38.329235505,145.84165662973447
POOWONG NORTH,-38.28485644,145.78500211185616
PORCUPINE RIDGE,-37.277474655,144.19679463335973
POREPUNKAH,-36.679926820000006,146.92354536253052
PORT ALBERT,-38.690883275000004,146.67102017491857
ALEXANDRA,-37.19664007,145.7359721262838
BENGWORDEN,-37.974433405,147.43919100099865
PORT CAMPBELL,-38.612760120000004,143.01659442333346
PORT FAIRY,-38.32283113,142.16965728315492
PORT FRANKLIN,-38.687002515,146.26746640691925
PORT MELBOURNE,-37.83436644,144.9233246471241
PORT WELSHPOOL,-38.68988733,146.47708503329454
PORTARLINGTON,-38.140553999999995,144.67019238076054
PORTLAND,-38.363355295,141.60609189346928
PORTLAND NORTH,-38.30083705,141.56014960187858
PORTLAND WEST,-38.37547461,141.53831089627306
PORTSEA,-38.32375471,144.7096289126722
BENJEROOP,-35.490363685,143.84086291399166
POUND CREEK,-38.61907757,145.85224749556693
POWELLTOWN,-37.859396835,145.7730374374781
POWERS CREEK,-37.220762465,141.2439320046151
POWLETT PLAINS,-36.470739,143.8570655468003
PRAHRAN,-37.852900575,145.00611330101304
PRAIRIE,-36.294762985000006,144.21250775405218
PRANJIP,-36.735532379999995,145.38396199370374
PRESTON,-37.741642845,145.00691756638582
PRINCES HILL,-37.78192066,144.96669138372732
PRINCETOWN,-38.6534245,143.16880792366626
BENLOCH,-37.20206307,144.67542276483772
PUCKAPUNYAL,-36.931142019999996,144.93759066374884
PURA PURA,-37.82805835,143.07376582851464
PURDEET,-37.928823465,142.39311299472638
PURNIM,-38.27446702,142.61264167914823
PURNIM WEST,-38.29139875,142.5537253506788
PYALONG,-37.110467965,144.85057391011978
PYRAMID HILL,-36.039531975,144.175873748508
QUAMBATOOK,-35.85681553,143.53773824543197
QUANDONG,-37.835811754999995,144.50831224057944
QUANTONG,-36.75162848,142.04602759943032
BENNISON,-38.666172035,146.26916529205613
QUARRY HILL,-36.77547649,144.28040300005796
QUEENSCLIFF,-38.266248595,144.66343020241936
QUEENSFERRY,-38.419582919999996,145.50086705227724
RAGLAN,-37.341504130000004,143.3069572973032
RAINBOW,-35.908500939999996,141.9582306831536
RANCEBY,-38.373245635,145.84929839761548
RATHSCAR,-36.973995744999996,143.54468379145845
RATHSCAR WEST,-37.01152785,143.49114908988673
RAVENHALL,-37.772459875,144.73764631263134
RAVENSWOOD,-36.888974765,144.21066277405325
BENTLEIGH,-37.922793925,145.03780016849188
RAVENSWOOD SOUTH,-36.94585493,144.21382988035379
RAWSON,-37.961688890000005,146.40571823208768
RAYMOND ISLAND,-37.92190072,147.74463897957048
RAYWOOD,-36.51489454,144.18328205436802
RED CLIFFS,-34.33905366,142.21805510898508
RED HILL,-38.36194348,145.0132225684293
RED HILL SOUTH,-38.38413898,145.0418228887088
RED LION,-37.165774485,143.7686899482025
REDAN,-37.576709,143.8379948994725
REDBANK,-36.905675970000004,143.30009866794785
BENTLEIGH EAST,-37.922237975,145.06690714549998
REDCASTLE,-36.752698205,144.78190879815287
REDESDALE,-37.00195676,144.4723459767012
REEDY DAM,-35.944664735,142.64990018781347
REEDY LAKE,-35.667168005,143.8875238967595
REEFTON,-37.668369675,145.90143763411805
RESEARCH,-37.705581965,145.19046134474831
RESERVOIR,-37.71233434,145.00231202860726
REYNARD,-37.37464014,146.6333108620483
BENWERRIN,-38.491343549999996,143.89568672644322
RHEOLA,-36.649147955000004,143.6912893579223
RHYLL,-38.480062975,145.27439452201187
RHYMNEY,-37.21753657,142.77931328767326
RIACHELLA,-36.832139015,142.71311472469233
RICH AVON,-36.445686975,142.9099433276761
RICH AVON EAST,-36.513170775,142.89376616014292
RICH AVON WEST,-36.504665134999996,142.79971075337414
RICHMOND,-37.82199696,145.00254348620825
RICHMOND PLAINS,-36.39496552,143.48224501741853
RIDDELLS CREEK,-37.44731854,144.67917869471086
BEREMBOKE,-37.78793215,144.21802215484917
RIGGS CREEK,-36.66245481,145.58917409480938
RINGWOOD,-37.80997828,145.22832071410423
RINGWOOD EAST,-37.812313485000004,145.2485798307522
RINGWOOD NORTH,-37.79212914,145.2335068144509
RIPPLEBROOK,-38.19983104,145.76559720796524
RIPPLESIDE,-38.12376629,144.35531290448176
RIPPONLEA,-37.87806293,144.9955785673041
RIVERSIDE,-36.71629252,142.24534690932182
RIVERSLEA,-38.00671449,146.9506403295764
ROBERTSONS BEACH,-38.677262205000005,146.7408141072089
BERRIMAL,-36.498081275,143.47564949781696
ROBINVALE,-34.614182575,142.75234043693783
ROCHESTER,-36.365295945,144.6946400532516
ROCHFORD,-37.31265558,144.66673878976258
ROCKBANK,-37.729755585,144.64831507220885
ROCKLANDS,-37.2570615,142.02608614334133
ROCKLYN,-37.438603585,144.0667808323704
BERRINGA,-37.771317315,143.66900279055307
ROCKY POINT,-37.33724722,142.8507581209597
ROKEBY,-38.06704697,145.9280525933649
